customer_id,customer_name,customer_address,customer_city,customer_state,customer_zip,customer_country,customer_email,customer_phone,customer_dob,customer_join_date,customer_segment,customer_credit_score,customer_device_fingerprint,customer_ip_address
CUST00000,Donald Walker,"600 Jeffery Parkways, New Jamesside, MT 29394",Lawrencetown,WV,21427,MC,jpeterson@example.org,001-851-316-1559x40781,1981-12-19,2021-05-05,Retail,Good,d4023a51c9ebd7b6,192.168.2.63
CUST00001,Michele Williams,"31647 Martin Knoll Apt. 419, New Jessica, GA 61090",Nelsonside,IN,90234,LR,perezantonio@example.com,(541)639-5376x7242,1995-03-27,2023-06-22,Retail,Good,456d1c619c4ae6f9,192.168.0.174
CUST00002,Zachary Taylor,"22691 James Mountain, Tashatown, TX 94967",Lake Nicoleview,WI,84513,LV,cartereric@example.org,001-248-728-1489x3252,1977-08-25,2023-10-17,Retail,Good,d91df8948188406e,192.168.0.8
CUST00003,David Bradley,"82278 Joseph Well Suite 383, Raymondstad, NV 68340",Martinezbury,CA,44814,AO,briannasmith@example.net,+1-403-910-5183x4738,1960-12-07,2023-01-05,Retail,Good,6b150eff558777b7,192.168.1.130
CUST00004,Matthew Gomez,"106 Mcbride Coves, East James, NV 18874",Whitemouth,IA,10381,PA,williamsyvette@example.org,432-867-7360,1944-07-18,2022-01-06,Retail,Good,e991302f554f9b74,192.168.4.108
CUST00005,Michael Cross,"34309 Julie Centers Apt. 978, North Susan, CO 24857",New Carlosbury,MO,16214,TN,bethwilliams@example.org,(799)385-4353x46247,1945-01-12,2024-04-07,Retail,Good,2f1fcda4a42d37db,192.168.4.72
CUST00006,Daniel Baker,"USS Suarez, FPO AA 37854",South Martha,VT,40152,VA,contrerasangela@example.net,524-711-8244,1958-04-03,2021-03-31,Retail,Good,1f9e3f9454d1f087,192.168.3.88
CUST00007,Taylor Mathis Jr.,"05242 Arnold Meadow Apt. 112, Port Mikeside, FL 56834",North Kyle,MH,05730,MK,evelynestrada@example.com,001-686-492-3226x02563,1997-12-24,2024-09-11,Retail,Good,a118ccd7e74684b1,192.168.1.246
CUST00008,Courtney Velasquez,"30365 Lin Trail Suite 586, Sheilaville, FM 34738",New Sydney,KS,05515,CD,yreed@example.com,(798)816-9340x60883,1949-02-28,2020-09-22,Retail,Good,083c0cf252a17550,192.168.0.98
CUST00009,Belinda Mccullough,"6482 Robert Light Apt. 994, Kelleytown, ME 38107",South Kristi,PA,86314,LI,rramos@example.org,272.214.8951x34332,1961-01-22,2023-01-25,Retail,Good,51017f7696474298,192.168.2.155
CUST00010,Stephen Johnston,"6320 Kimberly Forges Apt. 870, Port David, DC 61402",Stephaniemouth,RI,94777,SD,jrivas@example.com,(677)943-4873,1949-09-02,2021-01-06,Retail,Good,e31cd96b38defab8,192.168.3.138
CUST00011,Joshua Taylor,"316 Rivera Mountain, Brownchester, MS 77057",Port Nicoleshire,MS,63019,AF,kenneth66@example.net,001-489-937-3467x0656,2006-12-22,2023-04-03,Retail,Good,0df7aa3da527ef23,192.168.0.142
