transaction_id,customer_name,customer_address,customer_ip_address,merchant_name,merchant_address,merchant_ip_address,item_purchased,product_category,activity_type,type_of_transaction,transaction_amount,average_transaction_amount,credit_limit
3e746ee2-1111-4fdd-a27e-157b3906e97b,James Ferguson,"164 Brown Causeway
East Todd, HI 67872",218.26.125.30,"Vega, Conrad and Stephens","48635 Lee Glen
Port Lindaborough, NM 04506",84.105.237.181,Rolex Daytona,luxury,purchase,mobile_app,999.7,121.32,1000
f09511e5-ad28-425c-88ff-bee79bf1e8aa,Angela Cruz,"8037 Howard Camp Apt. 559
North Carlos, MD 24714",218.26.125.30,"Clark, Andersen and Adkins","7794 Mendez Port
Lake Christopherborough, OH 08034",204.214.29.95,Hermes Birkin Bag,luxury,purchase,online,489.84,47.23,1000
1f91336a-e9fd-46a1-a1a1-54aa8910d834,Rhonda Patel,"7319 Emily Tunnel Apt. 320
Rasmussentown, SD 21945",218.26.125.30,Roberts-Warner,"22209 Hall Hollow
Austinberg, DE 56853",223.11.169.181,First Class Flight Ticket - Global,travel,purchase,POS,2712.52,117.79,10000
2aa00112-4125-4e70-8f5a-8e27cf32adf1,Robert Anderson,"5680 Erin Union Suite 841
Bowenbury, NM 76650",218.26.125.30,Dixon PLC,"75478 Thompson Manors
Robertton, WA 11608",13.171.179.196,First Class Flight Ticket - Global,travel,purchase,POS,1953.52,122.18,5000
5165d250-d611-4b53-bcea-606abaa25a30,Jerry Morse,"1457 Angela Burg Apt. 295
Brianton, CA 90655",218.26.125.30,"Stephens, Jackson and Moreno","916 Adams Viaduct Suite 730
Andrewsborough, IN 14555",106.149.98.86,Rolex Daytona,luxury,purchase,POS,9999.65,143.94,10000
7e11efc7-19b1-4c23-9bee-55a87ac3c8e7,Gina Lucas,"6263 Jeffrey Fort
Hoodmouth, VI 44448",218.26.125.30,Wallace-Lin,"646 Nunez Roads Suite 037
West Heather, ID 92278",216.179.30.3,Diamond Necklace,luxury,purchase,POS,1974.64,122.18,20000
ac76fb39-20d9-4709-82d7-126aaf4258a9,Courtney Peters,"820 Taylor Trace
South Jaimeville, NJ 59457",218.26.125.30,"Wilson, Ho and Alvarado","3453 Matthew Gateway Suite 464
Samanthachester, PR 12669",219.95.76.114,Crypto Wallet Top-Up (High Value),digital_goods,purchase,mobile_app,831.41,38.27,10000
11dde9d9-45da-4866-a60a-457d48ff1c1b,Daniel Fields,"501 Shelton Meadows Suite 993
East Elizabeth, WI 20855",218.26.125.30,Miller and Sons,"4136 Matthew Courts Apt. 593
Port Dennisport, ID 76062",146.59.1.123,Exotic Car Rental (Ferrari),travel,purchase,mobile_app,2091.18,92.25,5000
74f4af18-1ea8-42ae-865c-f3782de8de00,Randy Vincent,"644 Moody Springs Apt. 682
West Wendyshire, AS 34216",218.26.125.30,Phillips-Hinton,"783 Brent Wells Apt. 579
East Jeffrey, MP 21372",46.29.159.22,Luxury Resort Stay - Maldives,travel,purchase,POS,2486.89,115.61,2500
cec038a7-9045-4267-80a5-50f5d2c5b56d,Robert Taylor,"2154 Johnston Mountains
Melissatown, NM 67817",218.26.125.30,Watkins-Rodgers,"USNS York
FPO AE 93568",39.70.234.32,Luxury Resort Stay - Maldives,travel,purchase,online,966.28,82.1,10000
